664,0,16692,-42,320,365
716,-36,16676,-57,320,353
656,52,16692,-57,325,355
692,-8,16768,-52,325,353
712,-56,16624,-56,319,359
708,104,16748,-48,321,359
608,-60,16688,-53,306,349
600,8,16768,-58,316,361
660,-92,16744,-48,324,354
580,56,16664,-56,321,357
624,-52,16700,-43,321,359
492,56,16424,-47,330,343
556,536,17240,-45,333,353
456,3008,15128,-50,369,321
5172,6828,14756,-130,417,231
13096,6788,8912,-218,413,123
17564,3892,2080,-290,338,-48
16884,-2716,-16,-295,220,-119
14988,-7984,-2824,-291,170,-101
12184,-10884,844,-296,73,-8
7224,-14744,1512,-252,-30,46
1452,-17128,2764,-122,-107,143
-6376,-13712,3428,60,-102,202
-10672,-12948,3420,162,-53,226
-12184,-9420,3848,205,28,255
-11056,-5488,6844,193,114,315
-5864,8060,27492,111,408,283
-7908,9176,14444,92,445,241
-5592,17440,8644,32,520,92
-1232,15916,5296,-63,511,98
604,14140,2684,-125,497,58
4940,15056,-2368,-185,440,39
5260,16684,-4340,-225,402,43
120,12684,-10396,-82,427,-163
-7568,7896,-9428,62,379,-236
-12280,5488,-11500,117,310,-263
-10144,7656,-11924,90,353,-241
-8104,9396,-8700,87,386,-221
-8448,6860,-10648,90,289,-280
-6080,1396,-14612,42,133,-290
-8548,-2996,-14124,102,43,-251
-12144,-3808,-14688,143,19,-223
-11320,-5492,-9640,183,-19,-164
-11140,-5968,-9948,193,-32,-120
-11308,-7124,-6220,181,-65,-93
-12188,-9908,-8308,150,-84,-90
-14628,-11428,-5620,191,-80,-40
-14304,-6220,-4544,258,-34,3
-15896,-5524,-5328,292,0,39
-15372,-656,-3580,332,105,80
-14688,4608,-3304,335,220,85
-14944,5240,-4808,322,302,78
-13956,4924,-5960,311,339,67
-13936,3848,4008,312,343,58
-14176,4044,-5588,302,366,9
-14368,3192,-7740,302,345,-39
-13656,480,-7784,293,349,-62
-15264,1632,-8628,255,356,-107
-15224,-636,-6716,301,311,-71
-15744,136,-5712,335,299,-4
-15604,1656,-1684,323,313,76
-15552,4936,-1096,322,317,112
-13384,7932,4060,248,360,213
-7332,11432,9692,102,348,338
132,10848,13512,37,307,346
2312,5004,11668,12,253,360
4528,696,13700,22,176,370
4536,1636,16556,42,171,377
2932,-184,16284,57,197,372
4320,-868,15872,18,231,364
4684,-1608,14652,-1,280,354
6600,396,15516,-91,326,315
9872,2032,13176,-196,321,252
12280,-428,10868,-253,319,179
13708,-356,6984,-292,284,75
14848,608,2356,-288,257,-40
16172,200,-3160,-248,198,-147
14716,16,-6980,-227,153,-207
14264,-1676,-7680,-198,111,-205
13368,-1676,-10032,-143,65,-240
10316,-6348,-11224,-91,-26,-205
10868,-9804,-7492,-100,-110,-87
12016,-11052,-3236,-143,-111,-1
14324,-9032,-1284,-190,-94,51
14916,-6392,-308,-226,-37,86
16640,-2332,-432,-273,39,103
16388,-112,-1368,-302,94,60
9768,-2924,-10688,-267,51,-75
7808,-5564,-14856,-120,-48,-180
-1612,-6928,-15684,36,-67,-205
-8824,-3496,-12824,216,-3,-162
-14908,-2080,-7588,315,51,-36
-17124,1416,-364,328,114,110
-14124,3696,8484,277,169,263
-10868,6844,11668,201,213,320
-7644,8784,10848,157,258,338
-7100,11288,9692,158,308,313
-4076,12260,9012,123,372,296
-1872,15212,3592,121,452,198
-1180,14988,-2288,111,511,106
908,14276,-10260,93,513,-40
716,9684,-12840,73,454,-152
940,3888,-15648,97,358,-243
3112,644,-17028,71,272,-298
7552,-1756,-17192,30,194,-304
9024,-4592,-10992,-78,142,-283
12328,-5740,-10008,-112,61,-248
14936,-3284,-3184,-208,42,-188
15664,-2792,2108,-298,93,-30
15332,3360,7548,-312,194,63
11536,6356,6776,-293,280,76
12124,7980,7896,-287,302,102
7564,12944,3568,-228,401,-1
2156,14448,-1268,-103,452,-127
-4144,13924,-6568,48,408,-205
-14036,9252,-4572,246,313,-157
-14824,6504,4264,328,234,32
-9604,4404,11948,285,217,221
-6092,5132,14820,198,219,298
984,7780,13564,130,281,331
-648,11872,7600,113,367,301
492,14452,9332,71,380,293
3392,12700,9596,36,375,320
7280,12124,9900,-21,395,283
4236,12860,7580,-1,424,264
4292,12888,8028,-2,397,297
11160,17836,5140,-82,422,241
6144,15340,48,-132,440,177
4528,13392,-7164,-101,495,67
2340,13664,-9664,-22,507,-53
-676,8464,-13476,40,468,-153
-2808,2944,-15696,100,381,-224
-5772,2612,-15684,156,339,-218
-6288,-248,-14632,185,297,-231
-6240,-3500,-14532,143,280,-249
-2908,-3768,-16384,103,247,-281
-6748,-6280,-12160,163,167,-269
-6768,-9928,-9248,180,140,-251
-3988,-9836,-10992,98,96,-279
-3988,-12432,-11064,91,37,-259
-4884,-14432,-8224,78,-21,-220
-4420,-16124,1828,98,-124,-76
-1816,-14584,7552,70,-146,73
1788,-12264,11992,-21,-134,149
4196,-11516,11668,-103,-116,157
5240,-7744,13576,-165,-23,226
3148,-3232,16824,-172,110,294
2548,-168,16752,-107,169,346
-2032,-2556,15284,-33,201,371
-2788,-4916,16732,18,193,386
1536,-11344,12420,2,107,365
3220,-11208,9852,-66,19,330
4140,-15996,4740,-100,-46,263
4832,-16312,824,-107,-102,175
3804,-15048,-6016,-115,-146,43
2672,-12420,-10804,-103,-111,-108
1716,-6900,-13896,-135,-17,-195
6436,-1840,-6576,-145,120,-246
2084,-516,-17568,-176,172,-240
3680,-1052,-17516,-122,251,-265
764,432,-13636,-22,315,-277
-4680,156,-16516,73,308,-274
-4704,-1632,-15356,136,280,-252
-1820,-2796,-16256,118,270,-257
1464,80,-16600,42,279,-275
152,-412,-15688,31,311,-269
-24,536,-17904,33,331,-264
704,1104,-16600,63,311,-271
1124,1468,-16208,106,306,-259
-1760,908,-15760,176,252,-249
-2076,5024,-14840,193,237,-242
-3236,11340,-11684,196,362,-191
-1284,13452,-4388,171,467,-71
136,14404,4908,102,512,109
5948,6032,13384,40,394,297
7760,-1680,16224,-28,249,359
8164,-7332,14128,-62,125,351
5020,-12004,9064,-25,25,326
2280,-13696,2940,7,-43,294
2844,-15648,8380,33,-83,247
-224,-16576,-364,88,-137,115
-1656,-14580,-8312,123,-129,-6
4112,-11588,-9344,-3,-144,-52
10556,-11164,-7620,-128,-124,-54
9524,-8920,-10444,-175,-82,-78
10384,-5840,-12180,-181,-16,-152
7148,-1944,-15680,-198,70,-203
9748,4064,-13768,-235,197,-175
7220,6260,-13988,-221,313,-152
3656,10524,-13036,-175,404,-121
4056,12568,-10364,-150,445,-78
1656,14552,-9272,-106,483,-59
-4028,13976,-5116,-16,526,15
-5800,14684,-2616,23,524,47
-9000,12384,3028,100,502,119
-13044,6468,6620,185,445,187
-13112,4552,7424,240,389,185
-15300,3200,6204,278,370,149
-15372,2716,6016,301,360,93
-14904,2860,5564,322,315,34
-15240,3140,3600,330,302,-19
-17416,56,2692,342,207,-41
-13404,-6620,4600,325,58,2
-9908,-12336,5528,277,-28,46
-4588,-15572,5200,180,-105,31
-3888,-17572,1628,112,-117,-43
-1120,-16752,1764,82,-135,-48
464,-16816,3256,66,-142,-6
4156,-16576,7664,-13,-149,23
7788,-15180,4528,-96,-134,3
8984,-13072,5900,-143,-124,23
12552,-10240,6632,-211,-47,37
13356,-4728,7056,-278,52,57
14324,-704,8668,-302,161,75
12676,3656,8612,-291,226,98
11460,4724,11384,-277,279,138
9000,7636,10944,-255,325,165
4340,10612,9572,-198,398,147
3972,13256,9676,-173,439,147
2752,14460,10244,-138,454,140
2004,12512,9228,-120,466,136
260,14728,7912,-106,483,123
-912,14700,6760,-68,511,88
-3204,15340,3532,-15,515,48
-5540,13252,5268,81,508,54
-10944,8720,7912,180,466,104
-11192,4916,8108,242,417,160
-9780,1552,13532,240,358,236
-1204,704,15660,160,330,290
-3404,2088,14060,145,348,307
-1436,3564,15564,151,365,286
-4528,6860,15060,152,394,268
24576,5040,32767,98,385,303
15256,1384,9152,98,385,303
16476,736,268,98,385,303
14780,-36,-7284,98,385,303
12248,920,-11432,98,385,303
9804,1424,-16396,98,385,303
5732,-1348,-15672,98,385,303
4332,-240,-13428,98,385,303
7468,-492,-13332,98,385,303
11724,2728,-12744,98,385,303
12320,2084,-11380,98,385,303
11216,4760,-11768,98,385,303
7924,8584,-12840,98,385,303
3428,8532,-14048,98,385,303
-2056,10000,-12788,98,385,303
-7936,12360,-9720,98,385,303
-9976,12436,-4972,98,385,303
-10612,11032,540,98,385,303
-11888,8984,6124,98,385,303
-8976,4352,12712,98,385,303
-6008,-1664,15056,98,385,303
-3820,-6936,14564,98,385,303
-1676,-10864,9676,98,385,303
2072,-16104,6700,98,385,303
5132,-15100,3052,98,385,303
8304,-12908,-428,98,385,303
13472,-11324,-1280,98,385,303
13116,-6372,-2396,98,385,303
14584,-2728,-3784,98,385,303
15664,-1648,-3556,98,385,303
15268,2272,-4800,98,385,303
14636,5272,-3292,98,385,303
14892,7552,-5600,98,385,303
13420,6668,-7148,98,385,303
10100,8488,-9800,98,385,303
8824,10592,-7516,98,385,303
12760,11284,-5664,98,385,303
9348,12004,-4308,98,385,303
7568,14264,804,98,385,303
3732,16412,828,98,385,303
288,16800,-1828,98,385,303
-388,16620,2024,98,385,303
-640,15740,3996,98,385,303
-3832,14680,4284,98,385,303
-7268,12908,6792,98,385,303
-7960,10608,8908,170,492,104
-10308,8236,9552,203,447,120
-11368,7016,9188,251,413,125
-12912,4444,9372,285,371,131
-13056,2136,10484,312,320,117
-12504,2144,11616,317,289,153
-10816,-1404,12708,313,221,174
-12072,-1228,12396,312,212,177
-11172,-5036,11192,322,117,153
-10424,-9468,9160,288,19,120
-9968,-9128,10172,257,-38,114
-6456,-10336,9868,205,-69,117
-4192,-13724,10092,128,-121,113
-3236,-11328,11332,71,-124,171
-1024,-6300,14856,38,-47,281
-76,-2000,17060,35,30,336
-520,-1856,16808,30,48,336
916,-24,16820,22,69,351
-88,1252,17580,18,78,354
-780,3744,15308,72,115,358
-1040,2264,15720,111,120,338
-5392,-1836,14100,183,78,301
-7428,-6084,13124,210,-7,209